sales,date,region
1638.00,2018-02-06,north
1647.00,2018-02-06,south
1731.00,2018-02-06,east
1557.00,2018-02-06,west
1587.00,2018-02-07,north
1698.00,2018-02-07,south
1542.00,2018-02-07,east
1635.00,2018-02-07,west
1602.00,2018-02-08,north
1536.00,2018-02-08,south
1503.00,2018-02-08,east
1701.00,2018-02-08,west
1758.00,2018-02-09,north
1662.00,2018-02-09,south
1782.00,2018-02-09,east
1515.00,2018-02-09,west
1662.00,2018-02-10,north
1557.00,2018-02-10,south
1650.00,2018-02-10,east
1674.00,2018-02-10,west
1554.00,2018-02-11,north
1587.00,2018-02-11,south
1563.00,2018-02-11,east
1764.00,2018-02-11,west
1758.00,2018-02-12,north
1608.00,2018-02-12,south
1569.00,2018-02-12,east
1653.00,2018-02-12,west
1572.00,2018-02-13,north
1716.00,2018-02-13,south
1773.00,2018-02-13,east
1725.00,2018-02-13,west
1767.00,2018-02-14,north
1710.00,2018-02-14,south
1698.00,2018-02-14,east
1512.00,2018-02-14,west
1746.00,2018-02-15,north
1734.00,2018-02-15,south
1524.00,2018-02-15,east
1614.00,2018-02-15,west
1578.00,2018-02-16,north
1782.00,2018-02-16,south
1527.00,2018-02-16,east
1752.00,2018-02-16,west
1785.00,2018-02-17,north
1689.00,2018-02-17,south
1641.00,2018-02-17,east
1575.00,2018-02-17,west
1644.00,2018-02-18,north
1674.00,2018-02-18,south
1551.00,2018-02-18,east
1737.00,2018-02-18,west
1563.00,2018-02-19,north
1647.00,2018-02-19,south
1605.00,2018-02-19,east
1539.00,2018-02-19,west
1698.00,2018-02-20,north
1575.00,2018-02-20,south
1500.00,2018-02-20,east
1551.00,2018-02-20,west
1737.00,2018-02-21,north
1542.00,2018-02-21,south
1665.00,2018-02-21,east
1548.00,2018-02-21,west
1635.00,2018-02-22,north
1632.00,2018-02-22,south
1668.00,2018-02-22,east
1764.00,2018-02-22,west
1533.00,2018-02-23,north
1563.00,2018-02-23,south
1641.00,2018-02-23,east
1773.00,2018-02-23,west
1629.00,2018-02-24,north
1698.00,2018-02-24,south
1725.00,2018-02-24,east
1722.00,2018-02-24,west
1596.00,2018-02-25,north
1710.00,2018-02-25,south
1635.00,2018-02-25,east
1659.00,2018-02-25,west
1686.00,2018-02-26,north
1533.00,2018-02-26,south
1524.00,2018-02-26,east
1530.00,2018-02-26,west
1665.00,2018-02-27,north
1695.00,2018-02-27,south
1578.00,2018-02-27,east
1620.00,2018-02-27,west
1767.00,2018-02-28,north
1593.00,2018-02-28,south
1743.00,2018-02-28,east
1557.00,2018-02-28,west
1668.00,2018-03-01,north
1782.00,2018-03-01,south
1527.00,2018-03-01,east
1668.00,2018-03-01,west
1635.00,2018-03-02,north
1569.00,2018-03-02,south
1746.00,2018-03-02,east
1773.00,2018-03-02,west
1539.00,2018-03-03,north
1500.00,2018-03-03,south
1569.00,2018-03-03,east
1557.00,2018-03-03,west
1773.00,2018-03-04,north
1644.00,2018-03-04,south
1614.00,2018-03-04,east
1674.00,2018-03-04,west
1533.00,2018-03-05,north
1653.00,2018-03-05,south
1557.00,2018-03-05,east
1746.00,2018-03-05,west
1719.00,2018-03-06,north
1719.00,2018-03-06,south
1659.00,2018-03-06,east
1800.00,2018-03-06,west
1581.00,2018-03-07,north
1602.00,2018-03-07,south
1608.00,2018-03-07,east
1650.00,2018-03-07,west
1611.00,2018-03-08,north
1530.00,2018-03-08,south
1698.00,2018-03-08,east
1668.00,2018-03-08,west
1746.00,2018-03-09,north
1524.00,2018-03-09,south
1506.00,2018-03-09,east
1704.00,2018-03-09,west
1788.00,2018-03-10,north
1719.00,2018-03-10,south
1746.00,2018-03-10,east
1584.00,2018-03-10,west
1692.00,2018-03-11,north
1635.00,2018-03-11,south
1608.00,2018-03-11,east
1590.00,2018-03-11,west
1599.00,2018-03-12,north
1518.00,2018-03-12,south
1602.00,2018-03-12,east
1659.00,2018-03-12,west
1644.00,2018-03-13,north
1611.00,2018-03-13,south
1554.00,2018-03-13,east
1515.00,2018-03-13,west
1635.00,2019-06-11,north
1563.00,2019-06-11,south
1785.00,2019-06-11,east
1521.00,2019-06-11,west
1728.00,2019-06-12,north
1515.00,2019-06-12,south
1548.00,2019-06-12,east
1677.00,2019-06-12,west
1587.00,2019-06-13,north
1719.00,2019-06-13,south
1587.00,2019-06-13,east
1773.00,2019-06-13,west
1557.00,2019-06-14,north
1680.00,2019-06-14,south
1773.00,2019-06-14,east
1509.00,2019-06-14,west
1602.00,2019-06-15,north
1794.00,2019-06-15,south
1764.00,2019-06-15,east
1785.00,2019-06-15,west
1662.00,2019-06-16,north
1563.00,2019-06-16,south
1671.00,2019-06-16,east
1533.00,2019-06-16,west
1587.00,2019-06-17,north
1512.00,2019-06-17,south
1536.00,2019-06-17,east
1566.00,2019-06-17,west
1767.00,2019-06-18,north
1614.00,2019-06-18,south
1776.00,2019-06-18,east
1728.00,2019-06-18,west
1614.00,2019-06-19,north
1572.00,2019-06-19,south
1614.00,2019-06-19,east
1734.00,2019-06-19,west
1566.00,2019-06-20,north
1632.00,2019-06-20,south
1785.00,2019-06-20,east
1770.00,2019-06-20,west
1725.00,2019-06-21,north
1542.00,2019-06-21,south
1677.00,2019-06-21,east
1533.00,2019-06-21,west
1578.00,2019-06-22,north
1713.00,2019-06-22,south
1776.00,2019-06-22,east
1515.00,2019-06-22,west
1587.00,2019-06-23,north
1770.00,2019-06-23,south
1773.00,2019-06-23,east
1671.00,2019-06-23,west
1704.00,2019-06-24,north
1545.00,2019-06-24,south
1671.00,2019-06-24,east
1800.00,2019-06-24,west
1611.00,2019-06-25,north
1797.00,2019-06-25,south
1623.00,2019-06-25,east
1776.00,2019-06-25,west
1677.00,2019-06-26,north
1800.00,2019-06-26,south
1794.00,2019-06-26,east
1686.00,2019-06-26,west
1671.00,2019-06-27,north
1635.00,2019-06-27,south
1740.00,2019-06-27,east
1671.00,2019-06-27,west
1671.00,2019-06-28,north
1770.00,2019-06-28,south
1773.00,2019-06-28,east
1581.00,2019-06-28,west
1533.00,2019-06-29,north
1650.00,2019-06-29,south
1536.00,2019-06-29,east
1548.00,2019-06-29,west
1785.00,2019-06-30,north
1614.00,2019-06-30,south
1569.00,2019-06-30,east
1800.00,2019-06-30,west
1644.00,2019-07-01,north
1659.00,2019-07-01,south
1659.00,2019-07-01,east
1644.00,2019-07-01,west
1656.00,2019-07-02,north
1566.00,2019-07-02,south
1686.00,2019-07-02,east
1677.00,2019-07-02,west
1770.00,2019-07-03,north
1689.00,2019-07-03,south
1704.00,2019-07-03,east
1800.00,2019-07-03,west
1782.00,2019-07-04,north
1746.00,2019-07-04,south
1527.00,2019-07-04,east
1581.00,2019-07-04,west
1518.00,2019-07-05,north
1554.00,2019-07-05,south
1548.00,2019-07-05,east
1533.00,2019-07-05,west
1791.00,2019-07-06,north
1578.00,2019-07-06,south
1779.00,2019-07-06,east
1704.00,2019-07-06,west
1587.00,2019-07-07,north
1593.00,2019-07-07,south
1644.00,2019-07-07,east
1680.00,2019-07-07,west
